PMXCrossover,InvertMutator,RouletteSelector,0.715,1835,1750.6017310729892
PMXCrossover,InvertMutator,RouletteSelector,0.535,1374,1847.0598417361214
PMXCrossover,InvertMutator,RouletteSelector,0.563,1430,1814.017368835378
PMXCrossover,InvertMutator,RouletteSelector,0.427,1087,1906.3743765910167
PMXCrossover,InvertMutator,RouletteSelector,0.511,1299,1839.4685543976843
PMXCrossover,InvertMutator,RouletteSelector,0.621,1585,1892.5273032168113
PMXCrossover,InvertMutator,RouletteSelector,1.429,3587,1875.9631512811843
PMXCrossover,InvertMutator,RouletteSelector,0.892,2116,1887.7406044907668
PMXCrossover,InvertMutator,RouletteSelector,0.718,1743,1866.071082488151
PMXCrossover,InvertMutator,RouletteSelector,1.26,3048,1877.0543107541062
PMXCrossover,InvertMutator,RouletteSelector,1.012,2465,1741.062224494999
PMXCrossover,InvertMutator,RouletteSelector,0.477,1185,1909.1733262266307
PMXCrossover,InvertMutator,RouletteSelector,1.631,3899,1885.7059886508393
PMXCrossover,InvertMutator,RouletteSelector,0.565,1417,1862.8338869269144
PMXCrossover,InvertMutator,RouletteSelector,0.576,1435,1836.0120522167138
PMXCrossover,InvertMutator,RouletteSelector,0.863,2173,1833.9045890466211
PMXCrossover,InvertMutator,RouletteSelector,0.458,1162,1914.2957121345921
PMXCrossover,InvertMutator,RouletteSelector,0.582,1476,1963.2325810119269
PMXCrossover,InvertMutator,RouletteSelector,0.515,1304,1810.1127063805645
PMXCrossover,InvertMutator,RouletteSelector,0.453,1142,1916.6310291925213
PMXCrossover,InvertMutator,RouletteSelector,0.994,2504,1761.0666221428646
PMXCrossover,InvertMutator,RouletteSelector,0.431,1090,1843.677492368205
PMXCrossover,InvertMutator,RouletteSelector,0.649,1644,1738.2607355779558
PMXCrossover,InvertMutator,RouletteSelector,0.616,1543,1828.4605672401224
PMXCrossover,InvertMutator,RouletteSelector,0.422,1063,1719.3422436405142
PMXCrossover,InvertMutator,RouletteSelector,0.757,1927,1956.882527350327
PMXCrossover,InvertMutator,RouletteSelector,0.691,1749,1760.5721816036285
PMXCrossover,InvertMutator,RouletteSelector,0.965,2438,1889.656392581837
PMXCrossover,InvertMutator,TournamentSelector,1.547,3549,588.4924817685262
PMXCrossover,InvertMutator,TournamentSelector,0.31,999,588.4924817685262
PMXCrossover,InvertMutator,TournamentSelector,0.316,999,588.4924817685262
PMXCrossover,InvertMutator,TournamentSelector,0.307,999,588.4924817685262
PMXCrossover,InvertMutator,TournamentSelector,0.384,1218,588.0379113938102
